lpsn_id	name	rank	authority	url	deprecated	status	validly_published	legitimate	is_correct_name	parent_lpsn_id	ncbitaxon_ids	gtdb_ids	type_strain_ids	synonym_of	publications	sequence_accessions
lpsn:10	Pararhodobacter marinus	SPECIES	Zhang et al. 2019	https://lpsn.dsmz.de/species/pararhodobacter-marinus-1	1	legitimate=False; validly published under the ICNP, illegitimate name, later homonym; synonym	1	0	0	lpsn:518203	NCBITaxon:2184063	GTDB:s__Pararhodobacter_marinus	kgmicrobe.strain:KCTC-62579	lpsn:7346	PMID:31385783|doi:10.1099/ijsem.0.003627|doi:10.1099/ijsem.0.003805	INSDC:MH087458
lpsn:89	Salinivirga	GENUS	Cole et al. 2018	https://lpsn.dsmz.de/genus/salinivirga-1	0	legitimate=False; validly published under the ICNP, illegitimate name, later homonym; not in use	1	0	0		NCBITaxon:1970191	GTDB:g__Salinivirga			PMID:29580321|doi:10.1099/ijsem.0.002715|doi:10.1099/ijsem.0.002798	
lpsn:240	Aequorivita aquimaris	SPECIES	(Thevarajoo et al. 2016) García-López et al. 2020	https://lpsn.dsmz.de/species/aequorivita-aquimaris	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515048	NCBITaxon:1548749	GTDB:s__Aequorivita_aquimaris	kgmicrobe.strain:DSM-101732|kgmicrobe.strain:KCTC-42708		PMID:31608019|doi:10.1099/ijsem.0.004156|doi:10.3389/fmicb.2019.02083	INSDC:KM569673
lpsn:278	Coraliitalea	GENUS	Yoon et al. 2026	https://lpsn.dsmz.de/genus/coraliitalea	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:499063				PMID:29152676|doi:10.1007/s00284-017-1403-y|doi:10.1099/ijsem.0.007141	
lpsn:348	Salinadaptatus	GENUS	Xue et al. 2021	https://lpsn.dsmz.de/genus/salinadaptatus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2798309	GTDB:g__Salinadaptatus			PMID:33275091|doi:10.1099/ijsem.0.004584|doi:10.1099/ijsem.0.004725	
lpsn:368	Vibrio damselae	SPECIES	Love et al. 1982	https://lpsn.dsmz.de/species/vibrio-damselae	1	legitimate=True; validly published under the ICNP; synonym (and not recommended for medical use)	1	1	0	lpsn:517157			kgmicrobe.strain:ATCC-33539|kgmicrobe.strain:CCUG-13626|kgmicrobe.strain:CIP-102761|kgmicrobe.strain:DSM-7482|kgmicrobe.strain:IFO-15633|kgmicrobe.strain:LMG-7892|kgmicrobe.strain:NBRC-15633|kgmicrobe.strain:NCTC-11647	lpsn:779528	PMID:17755898|doi:10.1099/00207713-32-2-266|doi:10.1126/science.214.4525.1139	INSDC:AB032015
lpsn:404	Hemophilus	GENUS	Winslow et al. 1917 (Approved Lists 1980)	https://lpsn.dsmz.de/genus/hemophilus	1	legitimate=True; inaccurate spelling; misspelling	0	1	0					lpsn:515740	PMID:16558764|doi:10.1099/00207713-30-1-225|doi:10.1128/jb.2.5.505-566.1917	
lpsn:443	Lacisediminimonas	GENUS	Wu et al. 2020	https://lpsn.dsmz.de/genus/lacisediminimonas	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2705466	GTDB:g__Lacisediminimonas			PMID:31555922|doi:10.1007/s10482-019-01334-z|doi:10.1099/ijsem.0.004156	
lpsn:451	Massilimicrobiota	GENUS	Tall et al. 2026	https://lpsn.dsmz.de/genus/massilimicrobiota	1	legitimate=True; inaccurate spelling; misspelling	0	1	0					lpsn:72413	PMID:31341627|doi:10.1016/j.nmni.2019.100574|doi:10.1099/ijsem.0.007052	
lpsn:531	Traorella	GENUS	Bonnet et al. 2026	https://lpsn.dsmz.de/genus/traorella	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:1929045	GTDB:g__Traorella			PMID:30949346|doi:10.1016/j.nmni.2019.100520|doi:10.1099/ijsem.0.007052	
lpsn:539	Thermoanaerosceptrum	GENUS	Hamilton-Brehm et al. 2021	https://lpsn.dsmz.de/genus/thermoanaerosceptrum	1	legitimate=True; inaccurate spelling; misspelling	0	1	0					lpsn:18904	PMID:31611860|doi:10.1099/ijsem.0.004688|doi:10.3389/fmicb.2019.02224	
lpsn:543	Weissella muntiaci	SPECIES	Lin et al. 2020	https://lpsn.dsmz.de/species/weissella-muntiaci	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:517159	NCBITaxon:2508881	GTDB:s__Weissella_muntiaci	kgmicrobe.strain:NBRC-113537		PMID:32228749|doi:10.1099/ijsem.0.003937|doi:10.1099/ijsem.0.004196	INSDC:MK774696
lpsn:547	Chryseotalea	GENUS	Maejima et al. 2020	https://lpsn.dsmz.de/genus/chryseotalea	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2682476	GTDB:g__Chryseotalea			PMID:31792570|doi:10.1007/s00284-019-01823-4|doi:10.1099/ijsem.0.004156	
lpsn:548	Lacipirellula	GENUS	Dedysh et al. 2020	https://lpsn.dsmz.de/genus/lacipirellula	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2691417	GTDB:g__Lacipirellula			PMID:31882205|doi:10.1016/j.syapm.2019.126050|doi:10.1099/ijsem.0.004156	
lpsn:553	Paraflavitalea	GENUS	Heo et al. 2020	https://lpsn.dsmz.de/genus/paraflavitalea	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2698688	GTDB:g__Paraflavitalea			PMID:31760613|doi:10.1007/s12275-020-9236-y|doi:10.1099/ijsem.0.004156	
lpsn:555	Vannielia	GENUS	Hördt et al. 2020	https://lpsn.dsmz.de/genus/vannielia	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2813041	GTDB:g__Vannielia			PMID:32373076|doi:10.1099/ijsem.0.004244|doi:10.3389/fmicb.2020.00468	
lpsn:556	Pelomicrobium	GENUS	Slobodkina et al. 2020	https://lpsn.dsmz.de/genus/pelomicrobium	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2815315	GTDB:g__Pelomicrobium			PMID:31705207|doi:10.1007/s00792-019-01145-0|doi:10.1099/ijsem.0.004156	
lpsn:560	Pararcticibacter	GENUS	Cai et al. 2020	https://lpsn.dsmz.de/genus/pararcticibacter	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2703944				PMID:31811376|doi:10.1007/s00284-019-01828-z|doi:10.1099/ijsem.0.004366	
lpsn:561	Aerosticca	GENUS	Watanabe et al. 2020	https://lpsn.dsmz.de/genus/aerosticca	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2707020	GTDB:g__Aerosticca			PMID:32020244|doi:10.1007/s00203-020-01819-w|doi:10.1099/ijsem.0.004366	
lpsn:562	Casimicrobium	GENUS	Song et al. 2020	https://lpsn.dsmz.de/genus/casimicrobium	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2706000	GTDB:g__Casimicrobium			PMID:31811031|doi:10.1099/ijsem.0.004156|doi:10.1128/aem.02209-19	
lpsn:597	Abyssalbus	GENUS	Xu et al. 2022	https://lpsn.dsmz.de/genus/abyssalbus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2967089	GTDB:g__Abyssalbus			PMID:35850932|doi:10.1099/ijsem.0.005459|doi:10.1099/ijsem.0.005575	
lpsn:603	Lacisediminihabitans	GENUS	Zhuo et al. 2020	https://lpsn.dsmz.de/genus/lacisediminihabitans	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2740558	GTDB:g__Lacisediminihabitans			PMID:31691050|doi:10.1007/s10482-019-01347-8|doi:10.1099/ijsem.0.004244	
lpsn:609	Lichenibacterium	GENUS	Pankratov et al. 2020	https://lpsn.dsmz.de/genus/lichenibacterium	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2714751				PMID:31741189|doi:10.1007/s10482-019-01357-6|doi:10.1099/ijsem.0.004244	
lpsn:612	Aliidiomarina halalkaliphila	SPECIES	Yang et al. 2022	https://lpsn.dsmz.de/species/aliidiomarina-halalkaliphila	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518160	NCBITaxon:2593535	GTDB:s__Aliidiomarina_halalkaliphila	kgmicrobe.strain:JCM-34227		PMID:35244531|doi:10.1099/ijsem.0.005263|doi:10.1099/ijsem.0.005393	INSDC:MN155747
lpsn:635	Algibacillus	GENUS	Meng et al. 2021	https://lpsn.dsmz.de/genus/algibacillus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2798470	GTDB:g__Algibacillus			PMID:33332262|doi:10.1099/ijsem.0.004558|doi:10.1099/ijsem.0.004725	
lpsn:668	Salinispora cortesiana	SPECIES	Román-Ponce et al. 2020	https://lpsn.dsmz.de/species/salinispora-cortesiana	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516542	NCBITaxon:1305843		kgmicrobe.strain:DSM-108615		PMID:32701422|doi:10.1099/ijsem.0.004330|doi:10.1099/ijsem.0.004464	INSDC:MH973616
lpsn:881	Paracoccus marinaquae	SPECIES	Xue et al. 2023	https://lpsn.dsmz.de/species/paracoccus-marinaquae	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:516256	NCBITaxon:2841926	GTDB:s__Paracoccus_marinaquae	kgmicrobe.strain:JCM-34661		PMID:36622427|doi:10.1007/s00203-023-03402-5|doi:10.1099/ijsem.0.005931	INSDC:ON329670
lpsn:886	Alkalisalibacterium	GENUS	Abidueva et al. 2023	https://lpsn.dsmz.de/genus/alkalisalibacterium	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:3037992	GTDB:g__Alkalisalibacterium			doi:10.1099/ijsem.0.005931|doi:10.1134/s0026261722602548	
lpsn:1119	Bythopirellula goksoyri	SPECIES	Storesund and Øvreås 2021	https://lpsn.dsmz.de/species/bythopirellula-goksoyri	1	legitimate=True; inaccurate spelling; misspelling	0	1	0	lpsn:3454			kgmicrobe.strain:DSM-28691|kgmicrobe.strain:JCM-19442	lpsn:24864	PMID:34109495|doi:10.1007/s10482-021-01596-6|doi:10.1099/ijsem.0.005096	INSDC:KF607112
lpsn:1121	Canicola	GENUS	Christensen et al. 2021	https://lpsn.dsmz.de/genus/canicola	1	legitimate=True; validly published under the ICNP; synonym	1	1	0		NCBITaxon:2860205	GTDB:g__Canicola		lpsn:515740	PMID:34264807|doi:10.1099/ijsem.0.004881|doi:10.1099/ijsem.0.005006	
lpsn:1123	Occultella	GENUS	Schumann et al. 2021	https://lpsn.dsmz.de/genus/occultella	0	legitimate=True; validly published under the ICNP; correct name	1	1	1		NCBITaxon:2828348	GTDB:g__Occultella			PMID:33835911|doi:10.1099/ijsem.0.004769|doi:10.1099/ijsem.0.004850	
lpsn:1135	Halovivax gelatinilyticus	SPECIES	Li et al. 2023	https://lpsn.dsmz.de/species/halovivax-gelatinilyticus	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515776	NCBITaxon:2961597	GTDB:s__Halovivax_gelatinilyticus	kgmicrobe.strain:JCM-34317		PMID:37400737|doi:10.1007/s00792-023-01303-5|doi:10.1099/ijsem.0.006080	INSDC:MK640676
lpsn:1168	Arthrobacter ginsengisoli	SPECIES	Siddiqi et al. 2026	https://lpsn.dsmz.de/species/arthrobacter-ginsengisoli	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515179	NCBITaxon:1356565	GTDB:s__Arthrobacter_ginsengisoli	kgmicrobe.strain:JCM-19357|kgmicrobe.strain:KCTC-29225		PMID:25150449|doi:10.1007/s00203-014-1025-8|doi:10.1099/ijsem.0.007052	INSDC:KF212463
lpsn:1173	Bacillus dabaoshanensis	SPECIES	Cui et al. 2026	https://lpsn.dsmz.de/species/bacillus-dabaoshanensis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515217	NCBITaxon:1534289		kgmicrobe.strain:KCTC-33191		PMID:25603996|doi:10.1007/s00203-015-1082-7|doi:10.1099/ijsem.0.007141	INSDC:KJ818278
lpsn:1190	Chryseobacterium formosus	SPECIES	Akter et al. 2026	https://lpsn.dsmz.de/species/chryseobacterium-formosus	1	legitimate=True; inaccurate spelling; misspelling (and not recommended for medical use)	0	1	0	lpsn:516998		GTDB:s__Chryseobacterium_formosus	kgmicrobe.strain:KCTC-42606	lpsn:72687	PMID:26210236|doi:10.1007/s00203-015-1137-9|doi:10.1099/ijsem.0.007141	INSDC:KM035938
lpsn:1192	Chryseobacterium phocaeense	SPECIES	Abou Abdallah et al. 2026	https://lpsn.dsmz.de/species/chryseobacterium-phocaeense	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:516998	NCBITaxon:1816690	GTDB:s__Chryseobacterium_phocaeense			PMID:31332473|doi:10.1007/s00203-019-01704-1|doi:10.1099/ijsem.0.007052	INSDC:LT223696
lpsn:1209	Lacinutrix chionocetis	SPECIES	Kim et al. 2021	https://lpsn.dsmz.de/species/lacinutrix-chionocetis	1	legitimate=True; inaccurate spelling; misspelling	0	1	0	lpsn:517263			kgmicrobe.strain:JCM-30988|kgmicrobe.strain:KCTC-42767	lpsn:18982	PMID:28028566|doi:10.1007/s00203-016-1330-5|doi:10.1099/ijsem.0.004688	INSDC:KT272396
lpsn:1214	Mangrovimonas xylaniphaga	SPECIES	Dinesh et al. 2026	https://lpsn.dsmz.de/species/mangrovimonas-xylaniphaga	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518376	NCBITaxon:1645915		kgmicrobe.strain:JCM-30880|kgmicrobe.strain:LMG-28914		PMID:27506901|doi:10.1007/s00203-016-1275-8|doi:10.1099/ijsem.0.007141	INSDC:KR780982
lpsn:1223	Nonomuraea phyllanthi	SPECIES	Klykleung et al. 2020 emend. Wu et al. 2021	https://lpsn.dsmz.de/species/nonomuraea-phyllanthi	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516185	NCBITaxon:2219224	GTDB:s__Nonomuraea_phyllanthi	kgmicrobe.strain:JCM-33073|kgmicrobe.strain:NBRC-112774		PMID:31463600|doi:10.1007/s00203-019-01717-w|doi:10.1099/ijsem.0.004156	INSDC:LC387602
lpsn:1226	Paenibacillus albus	SPECIES	Jang et al. 2026	https://lpsn.dsmz.de/species/paenibacillus-albus	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:516243	NCBITaxon:2495582		kgmicrobe.strain:JCM-33184|kgmicrobe.strain:KCTC-33959		PMID:31154464|doi:10.1007/s00203-019-01669-1|doi:10.1099/ijsem.0.007052	INSDC:MK074849
lpsn:1234	Pedobacter paludis	SPECIES	Zhang et al. 2026	https://lpsn.dsmz.de/species/pedobacter-paludis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516275	NCBITaxon:2203212	GTDB:s__Pedobacter_paludis	kgmicrobe.strain:KCTC-62520		PMID:30635670|doi:10.1007/s00203-018-1605-0|doi:10.1099/ijsem.0.007141	INSDC:MH307976
lpsn:1236	Petrotoga japonica	SPECIES	Purwasena et al. 2026	https://lpsn.dsmz.de/species/petrotoga-japonica	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:517098	NCBITaxon:665105		kgmicrobe.strain:KCTC-15103|kgmicrobe.strain:NBRC-108752		PMID:24604301|doi:10.1007/s00203-014-0972-4|doi:10.1099/ijsem.0.007052	INSDC:GQ385331
lpsn:1241	Pseudomonas qingdaonensis	SPECIES	Wang et al. 2026	https://lpsn.dsmz.de/species/pseudomonas-qingdaonensis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:517405	NCBITaxon:2056231		kgmicrobe.strain:JCM-32579|kgmicrobe.strain:KCTC-62384		PMID:30798341|doi:10.1007/s00203-019-01636-w|doi:10.1099/ijsem.0.007141	INSDC:MG589917
lpsn:1307	Coraliitalea coralii	SPECIES	Yoon et al. 2026	https://lpsn.dsmz.de/species/coraliitalea-coralii	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:278	NCBITaxon:499064		kgmicrobe.strain:KCTC-52378|kgmicrobe.strain:NBRC-112329		PMID:29152676|doi:10.1007/s00284-017-1403-y|doi:10.1099/ijsem.0.007141	INSDC:AB377124
lpsn:1311	Desulfobulbus aggregans	SPECIES	Kharrat et al. 2026	https://lpsn.dsmz.de/species/desulfobulbus-aggregans	0	legitimate=True; validly published under the ICNP, belated name; correct name	1	1	1	lpsn:517008			kgmicrobe.strain:DSM-28693|kgmicrobe.strain:JCM-19994		PMID:28213662|doi:10.1007/s00284-017-1211-4|doi:10.1099/ijsem.0.007141	INSDC:KU180234
lpsn:1321	Fusobacterium hwasookii	SPECIES	Cho et al. 2026	https://lpsn.dsmz.de/species/fusobacterium-hwasookii	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515666	NCBITaxon:1583098	GTDB:s__Fusobacterium_hwasookii	kgmicrobe.strain:JCM-30218|kgmicrobe.strain:KCTC-5108		PMID:25257648|doi:10.1007/s00284-014-0692-7|doi:10.1099/ijsem.0.007141	INSDC:FJ471641
lpsn:1323	Fusobacterium pseudoperiodonticum	SPECIES	Park et al. 2026	https://lpsn.dsmz.de/species/fusobacterium-pseudoperiodonticum	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515666	NCBITaxon:2663009	GTDB:s__Fusobacterium_pseudoperiodonticum	kgmicrobe.strain:JCM-33009|kgmicrobe.strain:KCTC-5677		PMID:30937514|doi:10.1007/s00284-019-01675-y|doi:10.1099/ijsem.0.007141	INSDC:FJ471665
lpsn:1328	Lautropia dentalis	SPECIES	Lim et al. 2026	https://lpsn.dsmz.de/species/lautropia-dentalis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515924	NCBITaxon:2490857	GTDB:s__Lautropia_dentalis	kgmicrobe.strain:JCM-33297		PMID:31446477|doi:10.1007/s00284-019-01761-1|doi:10.1099/ijsem.0.007141	INSDC:MK748163
lpsn:1368	Pseudomonas hutmensis	SPECIES	Xiang et al. 2026	https://lpsn.dsmz.de/species/pseudomonas-hutmensis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:517405	NCBITaxon:2707027				PMID:31079192|doi:10.1007/s00284-019-01701-z|doi:10.1099/ijsem.0.007141	INSDC:MK027318
lpsn:1400	Arthrobacter dokdonellae	SPECIES	Koh et al. 2025	https://lpsn.dsmz.de/species/arthrobacter-dokdonellae	1	legitimate=True; inaccurate spelling; misspelling (and not recommended for medical use)	0	1	0	lpsn:515179			kgmicrobe.strain:KCTC-49189|kgmicrobe.strain:LMG-31284	lpsn:67967	PMID:31079331|doi:10.1007/s12275-019-8540-x|doi:10.1099/ijsem.0.006863	INSDC:MH718805
lpsn:1401	Bacillus cheonanensis	SPECIES	Kim et al. 2026	https://lpsn.dsmz.de/species/bacillus-cheonanensis	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515217	NCBITaxon:1262732		kgmicrobe.strain:JCM-19333		PMID:24879346|doi:10.1007/s12275-014-3458-9|doi:10.1099/ijsem.0.007141	INSDC:JQ966280
lpsn:1413	Burkholderia alba	SPECIES	Lee et al. 2026	https://lpsn.dsmz.de/species/burkholderia-alba	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515281	NCBITaxon:2683677	GTDB:s__Burkholderia_alba	kgmicrobe.strain:JCM-32403		PMID:29721827|doi:10.1007/s12275-018-8034-2|doi:10.1099/ijsem.0.007141	INSDC:MF565845
lpsn:1431	Flavisolibacter aluminii	SPECIES	Lee et al. 2026	https://lpsn.dsmz.de/species/flavisolibacter-aluminii	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:517640	NCBITaxon:1656888		kgmicrobe.strain:KCTC-52778|kgmicrobe.strain:NBRC-112870		PMID:30456752|doi:10.1007/s12275-019-8219-3|doi:10.1099/ijsem.0.007141	INSDC:KP326336
lpsn:1439	Janthinobacterium psychrotolerans	SPECIES	Gong et al. 2026	https://lpsn.dsmz.de/species/janthinobacterium-psychrotolerans	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515867	NCBITaxon:1747903	GTDB:s__Janthinobacterium_psychrotolerans	kgmicrobe.strain:DSM-102223|kgmicrobe.strain:LMG-29653		PMID:28116042|doi:10.1099/ijsem.0.007141|doi:10.1186/s40793-017-0230-x	INSDC:LOCQ01000055
lpsn:1449	Lysobacter pedocola	SPECIES	Jang et al. 2026	https://lpsn.dsmz.de/species/lysobacter-pedocola	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515987	NCBITaxon:1720258		kgmicrobe.strain:JCM-31020|kgmicrobe.strain:KCTC-42811		PMID:29858826|doi:10.1007/s12275-018-8046-y|doi:10.1099/ijsem.0.007141	INSDC:KT630892
lpsn:1456	Mucilaginibacter hankyongensis	SPECIES	Liu et al. 2026	https://lpsn.dsmz.de/species/mucilaginibacter-hankyongensis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:517430	NCBITaxon:502330		kgmicrobe.strain:DSM-21151|kgmicrobe.strain:KCTC-22274		PMID:28664515|doi:10.1007/s12275-017-7180-2|doi:10.1099/ijsem.0.007141	INSDC:EU423305
lpsn:1459	Nocardioides paucivorans	SPECIES	Ahn et al. 2026	https://lpsn.dsmz.de/species/nocardioides-paucivorans	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516183	NCBITaxon:1469602		kgmicrobe.strain:DSM-27142		PMID:25467116|doi:10.1007/s12275-014-4587-x|doi:10.1099/ijsem.0.007141	INSDC:KJ135311
lpsn:1460	Nocardioides suum	SPECIES	Lee et al. 2026	https://lpsn.dsmz.de/species/nocardioides-suum	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516183	NCBITaxon:1706825		kgmicrobe.strain:DSM-102833|kgmicrobe.strain:KCTC-39558		PMID:28429169|doi:10.1007/s12275-017-6313-y|doi:10.1099/ijsem.0.007141	INSDC:KT591347
lpsn:1462	Oceanobacillus gochujangensis	SPECIES	Jang et al. 2026	https://lpsn.dsmz.de/species/oceanobacillus-gochujangensis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516196	NCBITaxon:1095191		kgmicrobe.strain:CIP-110582|kgmicrobe.strain:KCTC-33014|kgmicrobe.strain:NBRC-109637		PMID:25079955|doi:10.1007/s12275-014-4220-z|doi:10.1099/ijsem.0.007141	INSDC:JN808225
lpsn:1464	Oceanobacillus massiliensis	SPECIES	Roux et al. 2026	https://lpsn.dsmz.de/species/oceanobacillus-massiliensis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516196	NCBITaxon:1465765	GTDB:s__Oceanobacillus_massiliensis	kgmicrobe.strain:DSM-24644		PMID:24976893|doi:10.1099/ijsem.0.007141|doi:10.4056/sigs.4267953	INSDC:LF134394
lpsn:1476	Paucisalibacillus algeriensis	SPECIES	Bendjama et al. 2026	https://lpsn.dsmz.de/species/paucisalibacillus-algeriensis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:517396	NCBITaxon:1347087		kgmicrobe.strain:DSM-27335		PMID:25197503|doi:10.1099/ijsem.0.007141|doi:10.4056/sigs.5611012	INSDC:HG315680
lpsn:1480	Phycicoccus ochangensis	SPECIES	Kim et al. 2026	https://lpsn.dsmz.de/species/phycicoccus-ochangensis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:517442	NCBITaxon:663580		kgmicrobe.strain:JCM-17595|kgmicrobe.strain:KCTC-19694		PMID:22538666|doi:10.1007/s12275-012-1206-6|doi:10.1099/ijsem.0.007052	INSDC:GQ344405
lpsn:1492	Sunxiuqinia dokdonensis	SPECIES	Chang et al. 2026	https://lpsn.dsmz.de/species/sunxiuqinia-dokdonensis	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:518156	NCBITaxon:1409788	GTDB:s__Sunxiuqinia_dokdonensis	kgmicrobe.strain:JCM-19380|kgmicrobe.strain:KCTC-32503		PMID:24385350|doi:10.1007/s12275-013-3492-z|doi:10.1099/ijsem.0.007141	INSDC:KF646787
lpsn:1533	Thiobacillus cuprinus	SPECIES	Huber and Stetter 2026	https://lpsn.dsmz.de/species/thiobacillus-cuprinus	1	legitimate=True; validly published under the ICNP, belated name; synonym	1	1	0	lpsn:516820			kgmicrobe.strain:DSM-5495|kgmicrobe.strain:NBRC-102094|kgmicrobe.strain:NBRC-102145	lpsn:782761	PMID:16348110|doi:10.1099/ijsem.0.007141|doi:10.1128/aem.56.2.315-322.1990	INSDC:AB331953
lpsn:1546	Orenia metallireducens	SPECIES	Dong et al. 2026	https://lpsn.dsmz.de/species/orenia-metallireducens	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516223	NCBITaxon:1413210	GTDB:s__Orenia_metallireducens	kgmicrobe.strain:ATCC-BAA-2645|kgmicrobe.strain:JCM-31419		PMID:27565620|doi:10.1099/ijsem.0.007141|doi:10.1128/aem.02382-16	INSDC:KP898732
lpsn:1558	Polaribacter aestuariivivens	SPECIES	Park et al. 2026	https://lpsn.dsmz.de/species/polaribacter-aestuariivivens	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:516366	NCBITaxon:2304626	GTDB:s__Polaribacter_aestuariivivens	kgmicrobe.strain:NBRC-113191		PMID:31504481|doi:10.1093/femsle/fnz185|doi:10.1099/ijsem.0.007141	INSDC:MH791326
lpsn:1577	Flavobacterium panaciterrae	SPECIES	Jin et al. 2026	https://lpsn.dsmz.de/species/flavobacterium-panaciterrae	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:515640	NCBITaxon:1222002		kgmicrobe.strain:JCM-19161|kgmicrobe.strain:KCTC-32392		PMID:24859863|doi:10.1099/ijsem.0.007052|doi:10.2323/jgam.60.59	INSDC:JX233806
lpsn:1582	Roseomonas aceris	SPECIES	Tonouchi and Tazawa 2026	https://lpsn.dsmz.de/species/roseomonas-aceris	0	legitimate=True; validly published under the ICNP; correct name (and explicitly recommended for medical use)	1	1	1	lpsn:517335	NCBITaxon:1225642		kgmicrobe.strain:DSM-26554|kgmicrobe.strain:NBRC-109410		PMID:24646761|doi:10.1099/ijsem.0.007141|doi:10.2323/jgam.60.38	INSDC:AB743853
lpsn:1605	Acinetobacter pullorum	SPECIES	Elnar et al. 2026	https://lpsn.dsmz.de/species/acinetobacter-pullorum	1	legitimate=True; validly published under the ICNP; synonym (and not recommended for medical use)	1	1	0	lpsn:515021			kgmicrobe.strain:JCM-33942	lpsn:8497	PMID:32238766|doi:10.1099/ijsem.0.007141|doi:10.4014/jmb.2002.02033	INSDC:MN909715
lpsn:1624	Lysobacter terrigena	SPECIES	Li et al. 2020	https://lpsn.dsmz.de/species/lysobacter-terrigena	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515987			kgmicrobe.strain:JCM-33057|kgmicrobe.strain:KCTC-62217		PMID:31776587|doi:10.1007/s00203-019-01776-z|doi:10.1099/ijsem.0.004244	INSDC:LC433920
lpsn:1652	Aequorivita lutea	SPECIES	Zhang et al. 2020	https://lpsn.dsmz.de/species/aequorivita-lutea	0	legitimate=True; validly published under the ICNP; correct name	1	1	1	lpsn:515048	NCBITaxon:2610884		kgmicrobe.strain:KCTC-72764		PMID:32250237|doi:10.1099/ijsem.0.004139|doi:10.1099/ijsem.0.004291	INSDC:MH726674
